idx,transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,merchant_id,device_type,location
11,b7d8c70d-b6c8-433b-9f80-f9f5ce2d4fc4,USER_00434,2023-08-19 10:15,Online Shopping,Fitness Tracker,Flipkart,3186.45,36.06,16.12,812,UPI,Successful,MERCH_0371,iOS,Suburban
12,28895ba8-e569-4de1-a8a7-4d24170569c0,USER_00723,2023-08-19 11:25,Mobile Recharge,Prepaid Plan 399,BSNL,403.2,10.51,27.03,334,Credit Card,Successful,MERCH_0376,Android,Rural
13,67709f94-e412-46f9-9358-c1203a7f4ade,USER_01944,2023-08-19 12:17,Online Shopping,Laptop Backpack,Myntra,9421.81,13.69,66.79,522,UPI,Successful,MERCH_0130,Android,Suburban
14,2b99ee3a-d0a0-413f-a8c7-83c4976e4994,USER_06471,2023-08-19 13:37,Electricity Bill,Temporary Connection Bill,BSES,5297.09,5.81,95.25,910,Wallet Balance,Successful,MERCH_0961,Android,Urban
15,08bd39d8-56cc-4bdf-ae2f-9c515145290d,USER_01395,2023-08-19 14:23,Rent Payment,Co-working Space,NoBroker,3101.18,43.42,81.83,882,Bank Transfer,Successful,MERCH_0227,Android,Urban
16,08daafc2-28d9-4bed-a414-fd185a73216d,USER_00384,2023-08-19 15:34,Gas Bill,Auto LPG,Indraprastha Gas,1440.26,7.56,1.35,547,Debit Card,Successful,MERCH_0240,iOS,Suburban
17,29e70ed2-53d7-4d3e-bfa4-a43a01b3c43a,USER_00257,2023-08-19 15:39,Streaming Service,Premium Plan,Netflix,2402.15,47.58,21.69,578,Debit Card,Successful,MERCH_0201,Android,Rural
18,b44347b1-6541-4e51-8d10-8c8290455a07,USER_04931,2023-08-19 16:08,Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,3595.19,14.82,10.09,230,Wallet Balance,Successful,MERCH_0933,Android,Urban
19,f0557048-85f4-48d1-a39f-c8820380254c,USER_05181,2023-08-19 16:17,Flight Booking,Delhi to Mumbai,Yatra,9930.71,43.57,35.17,759,Credit Card,Successful,MERCH_0407,Android,Urban
20,270daf0a-8051-4c9b-8391-130eb2072ea8,USER_07275,2023-08-19 18:01,Taxi Fare,Share Ride,Meru,307.81,3.26,2.42,568,UPI,Successful,MERCH_0655,Web,Rural
21,333d21ec-009d-4791-a25f-727ba14174fb,USER_05710,2023-08-19 19:41,Taxi Fare,Share Ride,Ola,8996,35.05,14.66,779,Bank Transfer,Successful,MERCH_0685,Android,Urban
22,bb2a7fb0-ab50-4a32-8ebc-b914512ff56b,USER_03731,2023-08-19 20:14,Gaming Credits,500 Gems Pack,Roblox,1558.03,33.53,96.45,254,Credit Card,Successful,MERCH_0885,Android,Urban
23,d447afd8-0001-4ea2-9e42-24e83d5ecd6a,USER_01167,2023-08-19 20:29,Water Bill,Industrial Use,Delhi Jal Board,2699.87,14.68,54.23,773,Bank Transfer,Successful,MERCH_0760,Android,Rural
24,f8c53632-5ccb-4a8c-a48a-38ff20d1f05d,USER_06153,2023-08-20 01:59,Bus Ticket,AC Seater,MakeMyTrip Bus,2991.37,15.24,63.7,468,Debit Card,Successful,MERCH_0330,Web,Suburban
25,1314dd52-b80f-4b5f-9e4c-2834731a390e,USER_01839,2023-08-20 02:57,Rent Payment,Commercial Space Rent,Nestaway,5140.78,0.84,15.7,519,Debit Card,Successful,MERCH_0534,Android,Urban
26,1dab5c5f-d3fb-43de-a225-29c113d42a49,USER_09865,2023-08-20 03:45,Online Shopping,Smart LED TV,Flipkart,7076.38,19.16,41.87,202,Wallet Balance,Successful,MERCH_0709,iOS,Urban
27,8bc5bb94-fead-469a-9a3a-50bd1ba3e5a7,USER_05566,2023-08-20 06:14,Flight Booking,Chennai to Hyderabad,Yatra,2956.08,8.75,20.1,556,Wallet Balance,Successful,MERCH_0153,Android,Suburban
28,37bf717f-c8f9-46c9-baf5-0d66ac683bab,USER_04900,2023-08-20 06:47,Loan Repayment,Car Loan Installment,Axis Bank,6916.55,37.41,50.01,616,UPI,Successful,MERCH_0009,Android,Suburban
29,dbf8a78a-9f24-433c-b917-216835e77971,USER_06975,2023-08-20 07:57,Taxi Fare,Share Ride,Ola,5642.55,33.5,23.13,38,Bank Transfer,Successful,MERCH_0838,Web,Rural
30,cdfbd280-df3c-4003-bf4c-c258705becff,USER_08737,2023-08-20 13:14,Gas Bill,Commercial Gas Connection,Mahanagar Gas,9734.95,48.71,87.78,447,UPI,Successful,MERCH_0390,Android,Urban
31,9b904efa-3212-420a-a6be-dc81021c3e9d,USER_08347,2023-08-20 15:20,Electricity Bill,Residential Bill,MSEDCL,1916.58,38.48,10.81,83,Credit Card,Successful,MERCH_0043,iOS,Urban
32,077cfec0-22d4-4dec-95bd-eb2cc5d4c25e,USER_06829,2023-08-20 16:29,Taxi Fare,Share Ride,Jugnoo,2014.63,23.48,92.5,370,Wallet Balance,Successful,MERCH_0074,Android,Urban
33,b7ca9f03-f6e8-455e-844a-b91441255cc9,USER_04117,2023-08-20 17:38,Water Bill,Commercial Property,Hyderabad Water Board,1296.33,43.54,87.9,698,Debit Card,Successful,MERCH_0448,Android,Urban
34,70f52836-0d7b-49f2-af0b-a390f87693a2,USER_06155,2023-08-20 17:40,Electricity Bill,Agricultural Bill,Tata Power,9313.74,44.37,16.47,594,Bank Transfer,Successful,MERCH_0203,Android,Rural
35,d050b5a1-b31b-4c46-aa89-8c5a78200102,USER_00051,2023-08-20 17:50,Bus Ticket,Non-AC Seater,RedBus,6734.22,36.88,64.16,424,Wallet Balance,Successful,MERCH_0785,Android,Urban
36,d081075a-7ada-47e5-a2d9-1e652a151d8f,USER_00930,2023-08-20 18:16,Internet Bill,4G Unlimited Plan,Jio Fiber,1760.92,38.5,86.45,280,Bank Transfer,Successful,MERCH_0630,Web,Rural
37,1d870c66-f544-4a8f-8533-ec11510773b1,USER_03591,2023-08-20 19:48,Insurance Premium,Health Insurance,Max Life,5183.52,35.92,41.85,806,UPI,Successful,MERCH_0074,Android,Urban
38,3361b17a-9c0e-4ff3-8c2d-fd87a63d6110,USER_02590,2023-08-20 19:50,Internet Bill,Business Internet Plan,ACT Fibernet,8721.2,34.19,70.07,877,Credit Card,Successful,MERCH_0547,Android,Urban
39,a4fe9f29-a3f4-4516-a39f-861aa0cb60b7,USER_03043,2023-08-20 19:51,Gaming Credits,Legendary Weapon,Call of Duty Mobile,7975.27,3.56,18.94,349,Bank Transfer,Successful,MERCH_0251,Android,Suburban
40,2ae5a3bb-d9d0-4f64-9922-04b8344108a5,USER_03935,2023-08-20 21:03,Movie Ticket,Baahubali 2,Carnival Cinemas,5741.96,24.87,3.55,60,UPI,Successful,MERCH_0245,Android,Urban
41,bd51839f-7dd2-4d26-91e2-4504b79c1dde,USER_03336,2023-08-20 22:06,Loan Repayment,Business Loan Repayment,ICICI Bank,2578.28,35.06,59.04,78,Bank Transfer,Successful,MERCH_0073,Android,Urban
42,5c807c66-52ec-419c-aa5b-4daeec5a79cb,USER_03325,2023-08-20 22:20,Insurance Premium,Travel Insurance,Max Life,3855.29,23.46,73.61,117,UPI,Successful,MERCH_0191,iOS,Urban
43,f4f1bf20-5851-4c25-a324-a5a948ecbbaa,USER_03528,2023-08-20 23:10,Mobile Recharge,Postpaid Plan 599,Airtel,1446.76,6.15,75.16,684,Debit Card,Successful,MERCH_0585,iOS,Suburban
44,6723ec06-5f83-4995-ad8f-aa055d8e317d,USER_01473,2023-08-21 00:57,Gas Bill,Piped Natural Gas,Bharat Gas,3090.15,20.3,32.99,714,Debit Card,Successful,MERCH_0212,Android,Urban
45,0a446f41-9c5a-4616-a6a8-ad692ed9d8a4,USER_03895,2023-08-21 01:16,Water Bill,Tanker Supply,Hyderabad Water Board,1203.62,32.45,73.95,961,Debit Card,Successful,MERCH_0336,Web,Urban
46,bbc20141-064b-4592-8deb-72212b113fd4,USER_00326,2023-08-21 03:53,Grocery Shopping,Dairy Milk Chocolate,Amazon Pantry,372.6,6.61,67.38,379,UPI,Successful,MERCH_0078,Android,Suburban
47,64fb3179-c2e8-41e0-88f5-51ec4bfe8a3d,USER_06052,2023-08-21 04:27,Movie Ticket,3 Idiots,INOX,7393.64,33.05,80.36,415,Bank Transfer,Successful,MERCH_0901,Android,Rural
48,8dd4359a-0f15-41d0-bee9-dbaeb54e62e7,USER_03700,2023-08-21 04:58,Water Bill,Commercial Property,Bangalore Water Supply,6326.46,8.23,64.76,909,UPI,Successful,MERCH_0125,iOS,Suburban
49,569dcf7a-9e65-4271-9484-7acdc0f1118b,USER_07984,2023-08-21 05:28,Loan Repayment,Education Loan EMI,HDFC Bank,1044.85,3.6,95.47,769,Debit Card,Successful,MERCH_0797,Android,Urban
50,09c210a8-42b4-40e2-aea3-9d8496c372a0,USER_04870,2023-08-21 05:49,Taxi Fare,Rental Package,Uber,408.34,9.82,99.57,153,Credit Card,Successful,MERCH_0319,Android,Suburban
51,17ea2a26-9889-4de2-8741-cbed99695971,USER_04742,2023-08-21 07:53,Rent Payment,Co-working Space,OYO Life,8783.03,47.7,51.8,373,Bank Transfer,Successful,MERCH_0322,iOS,Rural
52,8c0d75ff-a01b-48ac-aa8f-fd82cf56f061,USER_08741,2023-08-21 15:14,Mobile Recharge,Postpaid Plan 599,Idea,9654.79,30.42,44.61,602,Debit Card,Successful,MERCH_0459,Android,Rural
53,55c48f2a-777c-4a79-b98f-ee1fc6c10cf5,USER_07974,2023-08-21 16:33,Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,4910.93,40.94,48.52,804,Credit Card,Successful,MERCH_0441,Android,Suburban
54,877c0fc1-f7f6-4f54-b828-901899ee9f65,USER_05484,2023-08-21 17:00,Food Delivery,Pizza Margherita,Uber Eats,7012.4,40.47,47.37,872,Wallet Balance,Successful,MERCH_0149,Android,Urban
55,9b4312a2-70fb-41bc-b657-669f173027d9,USER_07662,2023-08-21 17:24,Gas Bill,Piped Natural Gas,Mahanagar Gas,6464.24,1.28,81.33,281,Debit Card,Successful,MERCH_0284,Web,Urban
56,20ca6543-cc63-4d1d-bab5-5cbcdf2f7bc4,USER_01404,2023-08-21 19:32,Loan Repayment,Home Loan EMI,ICICI Bank,9828.97,21.55,50.04,414,UPI,Successful,MERCH_0390,Android,Urban
57,866c66b0-7e40-4db9-8e6a-d719974e4a7a,USER_06644,2023-08-21 19:43,Taxi Fare,Airport Transfer,Rapido,4849.13,46.72,88.66,859,Bank Transfer,Successful,MERCH_0591,iOS,Urban
58,783022a5-7e76-4bb8-9fb0-586b7d59172c,USER_03963,2023-08-21 21:05,Taxi Fare,Outstation Trip,Rapido,7078.24,29.32,92.22,533,Bank Transfer,Successful,MERCH_0619,Android,Urban
59,3044006d-778b-4cfa-8003-426759e482f9,USER_02160,2023-08-22 02:57,Streaming Service,Family Subscription,Netflix,748.75,21.57,34.34,344,Debit Card,Successful,MERCH_0285,Android,Urban
60,c64c9431-0700-4c10-922c-8d412684acd2,USER_00509,2023-08-22 05:04,Internet Bill,Business Internet Plan,BSNL Broadband,615.89,11.53,21.79,777,UPI,Successful,MERCH_0302,Android,Urban
61,5aca1931-8a08-4f72-9b91-c3f627f9b647,USER_05421,2023-08-22 10:37,Taxi Fare,Outstation Trip,Rapido,96.7,39,72.11,115,Wallet Balance,Successful,MERCH_0829,Android,Urban
62,a9356e2d-5f4e-487e-b812-6010c743745f,USER_00536,2023-08-22 10:47,Gaming Credits,1000 Game Coins,Minecraft,8716.7,49.55,11.57,397,Wallet Balance,Successful,MERCH_0119,Android,Urban
63,c6dbd684-88f7-4ecc-bd22-c674dbfb13d9,USER_03732,2023-08-22 13:11,Online Shopping,Smart LED TV,Myntra,3771.14,39.58,91.57,547,UPI,Successful,MERCH_0480,Android,Urban
64,6d684943-0472-4f24-af22-afd72dbe8f0e,USER_00058,2023-08-22 15:49,Grocery Shopping,Whole Wheat Atta,Flipkart Supermart,6031.6,22.93,31.89,207,UPI,Successful,MERCH_0624,Android,Urban
65,d3495957-02c3-41ed-b415-820289947cf6,USER_01431,2023-08-22 16:21,Electricity Bill,Residential Bill,Reliance Energy,8108.09,13.2,36.14,867,Wallet Balance,Successful,MERCH_0601,Android,Urban
66,5aa196df-d98e-434e-a144-0683843d614c,USER_01569,2023-08-22 20:00,Water Bill,Industrial Use,Chennai Metro Water,3424.46,27.19,3.46,831,UPI,Successful,MERCH_0437,Web,Suburban
67,373e20b9-82d4-4168-ba6a-c5835c6d4bfa,USER_09093,2023-08-22 20:38,Internet Bill,4G Unlimited Plan,Hathway,2896.65,18.2,80.13,808,Debit Card,Successful,MERCH_0681,iOS,Urban
68,8201b4a9-ba83-47eb-a947-677ddd79f1e7,USER_08679,2023-08-22 22:04,Gas Bill,Auto LPG,Mahanagar Gas,9067.49,16.75,51.84,719,Debit Card,Successful,MERCH_0819,Android,Suburban
69,6ea4a826-e48a-47e8-bbe4-0d61d35a6802,USER_03820,2023-08-22 22:29,Streaming Service,Standard Plan,Amazon Prime,1188.69,32.07,46.51,490,UPI,Successful,MERCH_0513,Android,Suburban
70,23b2fcb6-19ed-4fe8-837b-0c77ebd9644b,USER_03468,2023-08-22 23:43,Rent Payment,1BHK Apartment Rent,Housing.com,2938.73,12.92,46.18,481,Bank Transfer,Successful,MERCH_0544,iOS,Suburban
71,10b08a73-c807-4140-8d70-e64e046f933e,USER_02224,2023-08-23 00:17,Mobile Recharge,Postpaid Plan 599,Vodafone,2189.95,14.73,89.05,803,UPI,Successful,MERCH_0152,Android,Urban
72,bfa9798a-6936-458d-aa21-ce248ba57ab6,USER_04519,2023-08-23 00:40,Gift Card,Rs. 1000 Shopping Voucher,Amazon Pay,4691.67,38.55,80.81,981,Debit Card,Successful,MERCH_0005,Android,Suburban
73,93778797-e651-416b-8b06-88e71120a455,USER_00916,2023-08-23 02:01,Food Delivery,Vegetable Biryani,Foodpanda,857.92,41.42,44.5,43,Credit Card,Successful,MERCH_0049,Android,Urban
74,666d31da-1bce-435c-b3e9-ac338a4bbe63,USER_06348,2023-08-23 03:27,Online Shopping,Fitness Tracker,Nykaa,8391.75,31.98,99.29,514,Bank Transfer,Successful,MERCH_0211,Android,Urban
75,c3ffd155-2581-44be-8e4b-f5d78397e35e,USER_01868,2023-08-23 03:31,Water Bill,Commercial Property,Mumbai Water,9128.09,9.06,47.54,337,Debit Card,Successful,MERCH_0822,Web,Urban
76,5bfa32c5-0dfd-4a7f-98a0-41f75b4c5ac2,USER_00724,2023-08-23 05:31,Movie Ticket,3 Idiots,SPI Cinemas,3426.77,10.67,39.77,739,Debit Card,Successful,MERCH_0526,Android,Urban
77,2a9477e4-7a41-41ef-ba5e-16d12b696609,USER_09458,2023-08-23 08:40,Streaming Service,Standard Plan,Hotstar,8125.43,31.15,75.32,916,Bank Transfer,Successful,MERCH_0255,Android,Rural
78,cc0ba380-73e8-4340-ad85-3d50bd9ccb5f,USER_06794,2023-08-23 10:11,Movie Ticket,Baahubali 2,Cinepolis,6496.05,10.27,1.54,117,Bank Transfer,Successful,MERCH_0717,Web,Urban
79,937ea2bc-4d8d-4d1d-a9fd-4945d33e7cfc,USER_01317,2023-08-23 13:08,Movie Ticket,Baahubali 2,Cinepolis,1422.16,2.7,23.37,745,Debit Card,Successful,MERCH_0188,Web,Urban
80,f94efc68-227c-46ba-a6dd-d8706455aa39,USER_02077,2023-08-23 15:48,Flight Booking,Chennai to Hyderabad,MakeMyTrip,7018.18,14.38,1.93,130,Credit Card,Successful,MERCH_0025,Android,Urban
81,0f0ee41a-c0cb-48cb-9e3a-466cb5cd374e,USER_06845,2023-08-23 16:38,Insurance Premium,Travel Insurance,HDFC Life,7061.81,16.36,31.02,689,Debit Card,Successful,MERCH_0836,Android,Urban
82,a0fbbff8-dd54-4897-b6b3-9992711bf576,USER_02524,2023-08-23 17:36,Electricity Bill,Industrial Bill,Reliance Energy,4136.44,27.96,79.1,85,Bank Transfer,Successful,MERCH_0059,Android,Urban
83,e204f872-24c1-4cd3-a98e-313027c7dd03,USER_05459,2023-08-23 20:10,Loan Repayment,Home Loan EMI,SBI,4527.36,44.44,43.92,771,Debit Card,Failed,MERCH_0086,Android,Urban
84,fe525678-2715-4b45-9ec6-9f5db92547bb,USER_06965,2023-08-23 23:07,Loan Repayment,Business Loan Repayment,Bajaj Finserv,7892.35,1.59,10.34,712,Debit Card,Successful,MERCH_0914,iOS,Urban
85,b2c258bb-ba9c-42d1-9419-76847927d525,USER_02936,2023-08-24 03:27,Mobile Recharge,Data Pack 50GB,Vodafone,2668.82,16.31,8.45,100,UPI,Successful,MERCH_0536,Android,Urban
86,d897b708-d59b-4b23-bded-0a24f5a4e0fa,USER_00889,2023-08-24 03:32,Education Fee,MBA Entrance Prep,Udemy,8739.5,6.53,1.15,368,Bank Transfer,Successful,MERCH_0028,iOS,Urban
87,7b68998f-2aaf-4733-b873-1a46fa2c56f5,USER_02268,2023-08-24 05:04,Flight Booking,Ahmedabad to Jaipur,Yatra,5080.37,18.86,61.96,536,Credit Card,Successful,MERCH_0292,iOS,Urban
88,6faef832-98c9-435b-8e2d-e0950486c941,USER_06110,2023-08-24 05:46,Mobile Recharge,Annual Plan 2999,Jio,8451.05,5.48,6.55,265,Credit Card,Successful,MERCH_0796,Android,Urban
89,46447c57-cf75-4128-8487-802e3111104c,USER_06578,2023-08-24 06:02,Bus Ticket,Volvo Multi-Axle,Goibibo,12.86,36.32,18.54,271,Credit Card,Successful,MERCH_0924,Web,Urban
90,dbdd2a0c-4e9c-4953-99ce-3d3eb5298798,USER_03529,2023-08-24 09:32,Grocery Shopping,Whole Wheat Atta,BigBasket,1445.33,18.06,53.29,995,Credit Card,Successful,MERCH_0426,iOS,Urban
91,4cf9c225-0e97-4ad4-8e42-9e70029004fa,USER_03485,2023-08-24 09:55,Water Bill,Industrial Use,Hyderabad Water Board,3635.8,5.49,16.98,506,Credit Card,Successful,MERCH_0599,Android,Urban
92,722acc23-f00b-4f1e-ba1a-ce5141b93df0,USER_00515,2023-08-24 13:18,Internet Bill,Student Special Plan,Jio Fiber,9480.13,13.75,66.23,765,Credit Card,Successful,MERCH_0376,Android,Urban
93,47c2aa95-9d76-45bd-a9cc-8b0ca46ab633,USER_02129,2023-08-24 15:15,Bus Ticket,AC Seater,Goibibo,7517.7,21.91,94.53,777,Wallet Balance,Successful,MERCH_0783,Android,Urban
94,9d9503cd-cdd8-445d-88ca-5323bc6fa8f4,USER_08642,2023-08-24 17:22,Internet Bill,4G Unlimited Plan,Jio Fiber,2207.77,43.56,1.96,974,Wallet Balance,Successful,MERCH_0557,iOS,Suburban
95,4ef97d92-fd71-406d-9f57-6daac104b60c,USER_00975,2023-08-24 18:51,Food Delivery,Butter Chicken,Uber Eats,3366.31,2.87,75.32,301,Bank Transfer,Successful,MERCH_0183,Android,Urban
96,76411eb6-92bb-45bc-8266-fe3ecdcd7a2f,USER_06105,2023-08-24 20:49,Rent Payment,2BHK Flat Deposit,Nestaway,1238.04,31.05,7.53,215,UPI,Successful,MERCH_0193,iOS,Suburban
97,83719b09-f0c1-4387-940d-7887070c9356,USER_05483,2023-08-24 21:08,Streaming Service,Basic Plan,ZEE5,6361.03,6.08,16.61,185,Debit Card,Successful,MERCH_0351,Android,Suburban
98,c62a1a6c-4108-4e32-a49a-e621c4cf7cd1,USER_03020,2023-08-24 21:35,Food Delivery,Masala Dosa,Domino's,2966.49,36.57,25.29,17,Bank Transfer,Successful,MERCH_0314,Web,Urban
99,eef0ec78-df0d-4f08-9397-7f5d91511cec,USER_00836,2023-08-24 21:56,Food Delivery,Pizza Margherita,Uber Eats,8591.59,40.07,8.79,639,Credit Card,Successful,MERCH_0491,Android,Urban
100,bc531e39-cb1c-421f-a103-be39f7f80c6d,USER_09219,2023-08-25 04:08,Education Fee,MBA Entrance Prep,Coursera,4804.37,47.31,34.84,59,UPI,Successful,MERCH_0180,Android,Urban
101,6f247193-36fc-4ecf-a484-75da7a556e16,USER_02867,2023-08-25 04:10,Water Bill,Tanker Supply,Bangalore Water Supply,7572.76,23.8,4.28,743,UPI,Successful,MERCH_0756,iOS,Suburban
102,8c5f4fa8-a76b-46ce-9734-c5f3129c34cc,USER_08415,2023-08-25 04:37,Streaming Service,Premium Plan,Hotstar,5841.56,33.2,5.62,657,Debit Card,Successful,MERCH_0437,Web,Urban
103,29f43ae0-e54f-472c-9a06-e4326c581b03,USER_00933,2023-08-25 06:56,Electricity Bill,Agricultural Bill,Reliance Energy,5060.4,40.23,34.4,808,Bank Transfer,Successful,MERCH_0264,Web,Urban
104,69852da3-c8a2-4f28-b358-f661e1ef68f6,USER_00664,2023-08-25 08:08,Education Fee,MBA Entrance Prep,Coursera,6696.57,37.49,31.55,741,Bank Transfer,Successful,MERCH_0406,Android,Rural
105,e6b75594-2fd3-4b13-9961-a78718a09802,USER_06850,2023-08-25 09:58,Water Bill,Commercial Property,Chennai Metro Water,6139.37,24.65,35.73,105,Credit Card,Successful,MERCH_0848,Android,Urban
106,e4e06d74-5019-4c1c-9e6f-72a13cb0d55e,USER_09242,2023-08-25 10:33,Mobile Recharge,Family Plan 999,Vodafone,311.14,24.2,73.73,470,Debit Card,Successful,MERCH_0572,iOS,Urban
107,6cd180f1-cd2f-44d3-8f81-afc5e3d16e9b,USER_06733,2023-08-25 14:43,Grocery Shopping,Basmati Rice,BigBasket,4241.54,38.1,37.51,140,Credit Card,Successful,MERCH_0034,iOS,Urban
108,56df4426-491c-4a04-a78c-0c30ebbbebc4,USER_01196,2023-08-25 15:14,Grocery Shopping,Dairy Milk Chocolate,Grofers,9425.57,35.34,32.74,46,Credit Card,Successful,MERCH_0345,Android,Urban
109,824f8b67-469f-41c2-9647-8440694c25d9,USER_02750,2023-08-25 15:37,Gift Card,Rs. 500 E-Gift Card,Shoppers Stop,2356.93,20.48,78.2,356,Debit Card,Successful,MERCH_0969,Android,Urban
110,fa48c4e7-90f5-4cc0-8793-4e33d6319e0a,USER_05320,2023-08-25 16:25,Online Shopping,Smart LED TV,Snapdeal,7395.31,23.91,39.39,798,Debit Card,Successful,MERCH_0606,Android,Suburban
111,92bfc69e-b10d-4510-97c0-680cc2b7c8ea,USER_09262,2023-08-25 19:43,Electricity Bill,Commercial Bill,CESC,7602.07,34.42,82.11,849,UPI,Successful,MERCH_1000,iOS,Urban
112,8d1428cb-4a7e-43dd-beda-3bc54865b79e,USER_06818,2023-08-25 21:13,Streaming Service,Family Subscription,ZEE5,6337.18,6.01,99.34,679,Credit Card,Successful,MERCH_0844,iOS,Rural
113,bfff01fd-a0f1-4798-8339-25d5a53802d3,USER_01268,2023-08-25 21:29,Taxi Fare,City Ride,Ola,3692.3,6.02,95.87,929,Bank Transfer,Successful,MERCH_0482,iOS,Urban
114,0417b394-5ecb-4b8f-b47d-4a5083857e09,USER_09924,2023-08-26 02:13,Grocery Shopping,Basmati Rice,Grofers,1142.21,35.62,42.15,124,Wallet Balance,Failed,MERCH_0943,Android,Urban
115,06ce6a70-0dd9-45b6-8a3a-7029420cb38e,USER_07258,2023-08-26 03:26,Education Fee,Python Programming Course,Unacademy,285.88,45.46,12.95,75,UPI,Successful,MERCH_0453,Android,Urban
116,3a534caf-6a8e-437f-9fc0-9c618c32965e,USER_09996,2023-08-26 07:11,Gas Bill,Auto LPG,Adani Gas,4850.57,18.27,72.06,772,Wallet Balance,Successful,MERCH_0801,iOS,Suburban
117,2abe84f3-f768-4c3c-aed0-e87a1ea1b54f,USER_03718,2023-08-26 07:19,Gift Card,Rs. 2000 Gift Voucher,Shoppers Stop,2561.56,17.73,85.84,601,Credit Card,Successful,MERCH_0827,iOS,Urban
118,2c46ab5a-857e-4cda-9a11-07155dc70e6a,USER_02774,2023-08-26 10:05,Mobile Recharge,Postpaid Plan 599,BSNL,7444.55,31.44,6,713,Bank Transfer,Successful,MERCH_0941,iOS,Suburban
119,8d3fcff9-cedd-4e1b-8ecd-8768513c588d,USER_02811,2023-08-26 14:47,Streaming Service,Basic Plan,Hotstar,4107.54,48.36,74.12,287,Wallet Balance,Successful,MERCH_0142,Android,Urban
120,aadcdecc-e35e-49a6-a26d-3a6bc2e8599c,USER_02102,2023-08-26 15:51,Gift Card,Rs. 2000 Gift Voucher,Lifestyle,8138.42,11.22,37.25,26,Wallet Balance,Successful,MERCH_0815,iOS,Suburban
121,16f56a5f-d078-4c97-9c4d-186f3a6a6005,USER_09149,2023-08-27 00:08,Taxi Fare,Share Ride,Jugnoo,7753.32,14.2,51.88,10,Debit Card,Successful,MERCH_0581,iOS,Suburban
122,244f408a-bf66-446b-b91a-4cf5b975c23c,USER_02898,2023-08-27 02:29,Electricity Bill,Residential Bill,BSES,401.62,34.59,49.53,974,Credit Card,Successful,MERCH_0244,Web,Urban
123,846463d6-e901-4ac5-8d48-a51479370c63,USER_03240,2023-08-27 04:36,Gaming Credits,1000 Game Coins,PUBG Mobile,9798.21,10.88,74.99,648,Bank Transfer,Successful,MERCH_0201,iOS,Urban
124,fbde7f5e-495c-40f5-9dc4-f2ddb431dd66,USER_02003,2023-08-27 05:18,Insurance Premium,Home Insurance,Max Life,3219.31,30.47,16.05,184,Wallet Balance,Successful,MERCH_0591,iOS,Urban
125,6864b904-d7ac-4e67-9ac5-22c822552777,USER_00265,2023-08-27 12:26,Loan Repayment,Business Loan Repayment,Axis Bank,7838.24,38.64,2.2,320,Debit Card,Successful,MERCH_0037,iOS,Urban
